,Date,type,value
349,01-Oct-10,southwest,93.400002
350,01-Nov-10,england,90.800003
351,01-Nov-10,northwest,97.099998
352,01-Nov-10,westmidlands,95.099998
353,01-Nov-10,london,85.5
354,01-Nov-10,southwest,93.5
355,01-Dec-10,england,91.099998
356,01-Dec-10,northwest,97.199997
357,01-Dec-10,westmidlands,95.099998
358,01-Dec-10,london,85.900002
359,01-Dec-10,southwest,93.599998
360,01-Jan-11,england,91.400002
361,01-Jan-11,northwest,97.300003
362,01-Jan-11,westmidlands,95.300003
363,01-Jan-11,london,86.300003
364,01-Jan-11,southwest,93.699997
365,01-Feb-11,england,91.599998
366,01-Feb-11,northwest,97.300003
367,01-Feb-11,westmidlands,95.300003
368,01-Feb-11,london,86.599998
369,01-Feb-11,southwest,93.699997
370,01-Mar-11,england,91.699997
371,01-Mar-11,northwest,97.400002
372,01-Mar-11,westmidlands,95.400002
373,01-Mar-11,london,86.800003
374,01-Mar-11,southwest,93.900002
375,01-Apr-11,england,91.900002
376,01-Apr-11,northwest,97.599998
377,01-Apr-11,westmidlands,95.5
378,01-Apr-11,london,87.099998
379,01-Apr-11,southwest,94
380,01-May-11,england,92.099998
381,01-May-11,northwest,97.699997
382,01-May-11,westmidlands,95.5
383,01-May-11,london,87.400002
384,01-May-11,southwest,94.099998
385,01-Jun-11,england,92.300003
386,01-Jun-11,northwest,97.800003
387,01-Jun-11,westmidlands,95.599998
388,01-Jun-11,london,87.699997
389,01-Jun-11,southwest,94.300003
390,01-Jul-11,england,92.5
391,01-Jul-11,northwest,97.800003
392,01-Jul-11,westmidlands,95.800003
393,01-Jul-11,london,88
394,01-Jul-11,southwest,94.400002
395,01-Aug-11,england,92.699997
396,01-Aug-11,northwest,97.900002
397,01-Aug-11,westmidlands,95.900002
398,01-Aug-11,london,88.400002
399,01-Aug-11,southwest,94.5
400,01-Sep-11,england,93
401,01-Sep-11,northwest,98.099998
402,01-Sep-11,westmidlands,96.099998
403,01-Sep-11,london,88.800003
404,01-Sep-11,southwest,94.900002
405,01-Oct-11,england,93.199997
406,01-Oct-11,northwest,98.199997
407,01-Oct-11,westmidlands,96.199997
408,01-Oct-11,london,89.099998
409,01-Oct-11,southwest,95
410,01-Nov-11,england,93.400002
411,01-Nov-11,northwest,98.300003
412,01-Nov-11,westmidlands,96.300003
413,01-Nov-11,london,89.5
414,01-Nov-11,southwest,95.300003
415,01-Dec-11,england,93.800003
416,01-Dec-11,northwest,98.300003
417,01-Dec-11,westmidlands,96.400002
418,01-Dec-11,london,90
419,01-Dec-11,southwest,95.400002
420,01-Jan-12,england,94
421,01-Jan-12,northwest,98.400002
422,01-Jan-12,westmidlands,96.599998
423,01-Jan-12,london,90.5
424,01-Jan-12,southwest,95.599998
425,01-Feb-12,england,94.199997
426,01-Feb-12,northwest,98.5
427,01-Feb-12,westmidlands,96.599998
428,01-Feb-12,london,90.800003
429,01-Feb-12,southwest,95.699997
430,01-Mar-12,england,94.300003
431,01-Mar-12,northwest,98.599998
432,01-Mar-12,westmidlands,96.599998
433,01-Mar-12,london,91
434,01-Mar-12,southwest,95.699997
435,01-Apr-12,england,94.599998
436,01-Apr-12,northwest,98.699997
437,01-Apr-12,westmidlands,96.699997
438,01-Apr-12,london,91.599998
439,01-Apr-12,southwest,95.699997
440,01-May-12,england,94.800003
441,01-May-12,northwest,98.699997
442,01-May-12,westmidlands,96.800003
443,01-May-12,london,91.900002
444,01-May-12,southwest,95.900002
445,01-Jun-12,england,95
446,01-Jun-12,northwest,98.699997
447,01-Jun-12,westmidlands,96.900002
448,01-Jun-12,london,92.300003
449,01-Jun-12,southwest,96
450,01-Jul-12,england,95.199997
451,01-Jul-12,northwest,98.800003
452,01-Jul-12,westmidlands,97
453,01-Jul-12,london,92.599998
454,01-Jul-12,southwest,96.199997
455,01-Aug-12,england,95.400002
456,01-Aug-12,northwest,98.900002
457,01-Aug-12,westmidlands,96.900002
458,01-Aug-12,london,92.900002
459,01-Aug-12,southwest,96.400002
460,01-Sep-12,england,95.699997
461,01-Sep-12,northwest,98.900002
462,01-Sep-12,westmidlands,97.199997
463,01-Sep-12,london,93.5
464,01-Sep-12,southwest,96.699997
465,01-Oct-12,england,95.900002
466,01-Oct-12,northwest,99
467,01-Oct-12,westmidlands,97.400002
468,01-Oct-12,london,93.800003
469,01-Oct-12,southwest,96.900002
470,01-Nov-12,england,96.099998
471,01-Nov-12,northwest,99
472,01-Nov-12,westmidlands,97.5
473,01-Nov-12,london,94
474,01-Nov-12,southwest,96.900002
475,01-Dec-12,england,96.300003
476,01-Dec-12,northwest,99.099998
477,01-Dec-12,westmidlands,97.699997
478,01-Dec-12,london,94.400002
479,01-Dec-12,southwest,97
480,01-Jan-13,england,96.400002
481,01-Jan-13,northwest,99.099998
482,01-Jan-13,westmidlands,97.800003
483,01-Jan-13,london,94.699997
484,01-Jan-13,southwest,97.099998
485,01-Feb-13,england,96.599998
486,01-Feb-13,northwest,99.099998
487,01-Feb-13,westmidlands,97.900002
488,01-Feb-13,london,94.900002
489,01-Feb-13,southwest,97.199997
490,01-Mar-13,england,96.699997
491,01-Mar-13,northwest,99
492,01-Mar-13,westmidlands,97.900002
493,01-Mar-13,london,95.099998
494,01-Mar-13,southwest,97.199997
495,01-Apr-13,england,96.800003
496,01-Apr-13,northwest,99.099998
497,01-Apr-13,westmidlands,97.900002
498,01-Apr-13,london,95.400002
499,01-Apr-13,southwest,97.199997
500,01-May-13,england,97
501,01-May-13,northwest,99.099998
502,01-May-13,westmidlands,97.900002
503,01-May-13,london,95.800003
504,01-May-13,southwest,97.400002
505,01-Jun-13,england,97.199997
506,01-Jun-13,northwest,99.099998
507,01-Jun-13,westmidlands,98
508,01-Jun-13,london,96
509,01-Jun-13,southwest,97.5
510,01-Jul-13,england,97.300003
511,01-Jul-13,northwest,99.199997
512,01-Jul-13,westmidlands,98
513,01-Jul-13,london,96.300003
514,01-Jul-13,southwest,97.699997
515,01-Aug-13,england,97.5
516,01-Aug-13,northwest,99.199997
517,01-Aug-13,westmidlands,98
518,01-Aug-13,london,96.699997
519,01-Aug-13,southwest,97.900002
520,01-Sep-13,england,97.599998
521,01-Sep-13,northwest,99.300003
522,01-Sep-13,westmidlands,98
523,01-Sep-13,london,96.800003
524,01-Sep-13,southwest,97.900002
525,01-Oct-13,england,97.699997
526,01-Oct-13,northwest,99.300003
527,01-Oct-13,westmidlands,98
528,01-Oct-13,london,96.900002
529,01-Oct-13,southwest,98.099998
530,01-Nov-13,england,97.900002
531,01-Nov-13,northwest,99.400002
532,01-Nov-13,westmidlands,98.199997
533,01-Nov-13,london,97.199997
534,01-Nov-13,southwest,98.300003
535,01-Dec-13,england,98
536,01-Dec-13,northwest,99.400002
537,01-Dec-13,westmidlands,98.5
538,01-Dec-13,london,97.199997
539,01-Dec-13,southwest,98.300003
540,01-Jan-14,england,98.099998
541,01-Jan-14,northwest,99.400002
542,01-Jan-14,westmidlands,98.800003
543,01-Jan-14,london,97.300003
544,01-Jan-14,southwest,98.400002
545,01-Feb-14,england,98.099998
546,01-Feb-14,northwest,99.400002
547,01-Feb-14,westmidlands,98.800003
548,01-Feb-14,london,97.300003
549,01-Feb-14,southwest,98.400002
550,01-Mar-14,england,98.300003
551,01-Mar-14,northwest,99.400002
552,01-Mar-14,westmidlands,98.900002
553,01-Mar-14,london,97.5
554,01-Mar-14,southwest,98.5
555,01-Apr-14,england,98.400002
