,"Current
ONS code",Lower and Single Tier Authority Data,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,,2019-20,2020-21,Price rise 
South East,E07000006,South Bucks,,,,,,36.05,44.67,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000179,South Oxfordshire,,,,,,51.16,52.68,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E06000045,Southampton,,,,,,40.17,40.66,41.35,42.24,43.57,45.40,47.17,48.30,50.10,52.85,51.27,59.43,61.67,63.58,65.13,69.71,75.06,78.59,83.94,86.83,86.32,85.57,84.83,,83.95,86.12,2.584271032
South East,E07000213,Spelthorne,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000214,Surrey Heath,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000113,Swale,,,,,,35.04,35.04,35.04,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000215,Tandridge,,,,,,41.46,44.73,45.76,47.85,48.63,53.23,57.68,58.32,58.36,61.41,64.65,70.43,71.68,73.86,75.20,81.00,84.42,93.29,97.21,99.31,99.05,98.59,96.78,,98.60,101.21,2.646783203
South East,E07000093,Test Valley,,,,,,46.96,47.45,47.24,53.07,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000114,Thanet,,,,,,45.53,45.25,46.33,47.29,48.62,50.08,52.28,52.33,53.72,55.50,57.55,61.50,63.38,65.19,67.14,69.17,74.33,80.47,81.28,82.23,82.41,81.73,80.48,,80.56,83.33,3.449244597
South East,E07000115,Tonbridge and Malling,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000116,Tunbridge Wells,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,95.16,#VALUE!
South East,E07000180,Vale of White Horse,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000216,Waverley,,,,,,48.16,49.51,50.57,57.43,59.11,55.24,65.81,69.41,72.92,77.77,80.78,82.15,87.82,90.36,93.16,100.00,106.31,109.77,114.47,116.31,118.09,115.66,114.67,,114.40,117.42,2.637301116
South East,E07000065,Wealden,,,,,,40.39,41.62,42.72,43.57,44.26,45.83,47.95,49.63,49.70,53.98,56.80,59.63,63.16,65.11,65.97,70.43,75.69,79.28,86.42,87.69,86.57,86.75,87.75,,88.11,90.82,3.076657326
South East,E06000037,West Berkshire,,,,,,42.94,45.15,47.94,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000181,West Oxfordshire,,,,,,43.2,44.33,45.14,49.95,49.92,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000094,Winchester,,,,,,45.82,46.31,48.59,62.32,51.90,53.98,56.32,58.47,59.93,63.01,66.22,69.52,75.43,78.22,79.18,84.69,91.66,93.23,100.72,103.16,102.80,101.87,101.45,,100.35,103.61,3.243518427
South East,E06000040,Windsor and Maidenhead,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000217,Woking,,,,,,55.83,57.31,60.37,62.32,65.22,70.34,66.57,65.18,66.95,69.26,72.55,77.86,81.53,83.92,83.92,89.73,94.68,96.81,102.70,104.63,102.24,101.95,99.12,,101.65,104.60,2.902115101
South East,E06000041,Wokingham,,,,,,47.8,48.86,48.07,50.63,52.77,54.39,57.07,59.66,62.91,65.50,69.95,75.60,78.76,81.33,82.46,102.83,107.61,99.73,104.76,111.25,110.14,109.51,108.37,,107.73,110.55,2.617655249
South East,E07000229,Worthing,,,,,,44.27,44.81,45.56,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000007,Wycombe,,,,,,50.87,52.19,54.09,55.35,57.33,60.76,63.49,64.28,66.63,67.56,71.17,76.90,79.71,82.92,84.16,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
South West,E12000009,,27.19,30.93,34.34,37.19,39.6,40.85,41.45,42.48,43.59,44.99,46.55,48.21,48.54,50.08,51.62,53.61,56.79,59.18,61.44,62.96,67.06,72.93,76.19,79.12,81.67,80.95,80.18,80.17,,79.19,81.44,2.846909203
South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
South West,E06000022,Bath and North East Somerset,,,,,,38.93,38.93,39.02,41.24,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E06000028,Bournemouth,,,,,,43.23,44.29,44.96,45.90,47.26,47.87,47.98,49.15,51.51,53.69,56.32,60.45,62.61,65.04,65.74,70.02,75.39,81.38,82.92,86.95,84.97,84.15,84.85,,..,..,#VALUE!
South West,E06000058,"Bournemouth, Christchurch & Poole",,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,84.15,86.42,2.694160075
South West,E06000023,"Bristol, City of",,,,,,38.19,38.65,39.48,40.68,41.58,43.04,45.14,46.24,46.55,48.81,51.25,53.82,56.92,58.55,60.32,64.98,70.66,74.18,79.06,81.70,81.00,80.30,80.00,,79.29,81.37,2.623281624
South West,E07000019,Caradon,,,,,,40.69,40.49,40.75,41.52,42.58,43.19,44.77,37.94,47.03,48.21,50.63,53.95,56.68,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
South West,E07000020,Carrick,,,,,,38.12,40.39,43.14,45.16,47.82,50.36,50.98,51.37,52.12,53.00,54.23,57.05,58.33,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
South West,E07000078,Cheltenham,,,,,,45.58,46.07,51.26,52.15,53.29,57.25,59.25,58.43,59.38,60.27,61.81,64.62,65.22,66.98,66.87,75.02,77.58,77.52,80.60,82.29,81.62,81.11,80.40,,80.01,82.43,3.018246696
South West,E07000048,Christchurch,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E06000052,Cornwall,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,54.08,58.59,59.45,65.89,68.20,71.32,72.83,72.10,71.24,70.65,,70.01,72.13,3.033616905
South West,E07000079,Cotswold,,,,,,53.49,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E06000059,Dorset ,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,129.34,#VALUE!
South West,E07000040,East Devon,,,,,,36.95,37.43,38.15,39.04,40.41,42.10,44.33,45.38,47.70,50.12,53.01,57.58,59.72,61.58,62.73,67.13,74.42,75.83,80.02,84.52,81.79,81.03,92.31,,79.51,81.72,2.785083222
South West,E07000049,East Dorset,,,,,,48.31,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E07000041,Exeter,,,,,,36,36.49,37.21,37.74,39.41,40.98,42.79,44.02,46.08,48.13,50.53,53.05,56.08,57.81,58.20,62.30,67.48,70.82,75.03,77.01,76.41,75.50,74.18,,72.83,76.33,4.810530016
South West,E07000080,Forest of Dean,,,,,,39.84,40.37,41.03,41.97,43.34,44.92,46.46,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E07000081,Gloucester,,,,,,43.08,44.95,46.52,46.90,47.79,49.31,49.59,50.34,51.56,53.41,55.72,59.58,61.16,62.88,63.38,67.09,71.72,76.05,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E06000053,Isles of Scilly,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,.,60.79,64.98,68.85,.,.,.,83.76,84.60,.,,84.84,75.80,-10.65570823
South West,E07000025,Isles of Scilly,,,,,,.,.,40.76,45.65,46.53,48.36,51.05,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
South West,E07000230,Kennet,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
South West,E07000021,Kerrier,,,,,,41.2,42.46,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
South West,E07000187,Mendip,,,,,,41.4,41.96,42.50,43.50,44.59,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E07000042,Mid Devon,,,,,,39.29,39.77,40.29,41.17,42.46,43.94,45.45,48.15,50.90,48.56,54.94,57.70,60.52,62.32,63.53,67.64,72.19,75.37,78.88,81.21,80.29,79.44,78.72,,76.93,80.45,4.572597151
South West,E07000022,North Cornwall,,,,,,40.48,40.96,41.62,41.95,43.21,44.71,45.73,47.08,48.13,49.63,51.61,54.28,56.70,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
South West,E07000043,North Devon,,,,,,45.74,47.28,48.85,51.65,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E07000050,North Dorset,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E06000024,North Somerset,,,,,,47.46,49.19,49.19,51.32,52.25,54.42,56.45,56.75,58.20,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E07000231,North Wiltshire,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
South West,E07000023,Penwith,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
South West,E06000026,Plymouth,,,,,,34.1,35.79,37.54,39.51,41.49,43.03,44.04,43.44,44.62,46.39,47.66,50.95,52.57,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E06000029,Poole,,,,,,43.21,43.39,44.14,44.95,48.69,47.99,50.70,51.30,53.36,55.56,58.26,62.44,64.80,66.73,68.15,72.22,77.88,84.26,81.76,86.33,85.90,85.08,82.91,,..,..,#VALUE!
South West,E07000051,Purbeck,,,,,,48.64,49.05,52.35,50.80,52.28,53.57,55.95,55.32,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E07000024,Restormel,,,,,,40.85,41.33,44.08,46.92,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
South West,E07000232,Salisbury,,,,,,49.79,50.6,50.75,54.15,55.95,59.41,60.63,61.77,63.09,64.44,66.35,68.89,71.87,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
South West,E07000188,Sedgemoor,,,,,,42.88,44.25,44.98,45.84,47.46,50.04,47.64,44.61,47.55,51.13,53.03,55.65,57.83,60.08,60.57,64.70,66.85,71.38,74.18,77.44,77.58,76.18,76.50,,75.87,78.47,3.426154559
South West,E07000246,Somerset West and Taunton,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,81.06,82.94,2.324045267
South West,E06000025,South Gloucestershire,,,,,,42.33,42.82,43.53,44.41,45.97,47.63,50.62,51.30,53.47,55.76,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E07000044,South Hams,,,,,,47.27,47.78,51.77,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,140.32,140.33,0.007126568
South West,E07000189,South Somerset,,,,,,42.77,43.46,44.07,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E07000082,Stroud,,,,,,44.54,45.67,45.60,47.10,48.37,49.97,51.33,52.79,54.46,55.95,58.25,61.17,64.19,65.99,67.29,71.24,76.13,78.24,80.75,83.36,83.13,82.33,81.77,,82.68,83.45,0.940961764
South West,E06000030,Swindon,,,,,,36.81,37.35,38.01,38.84,41.48,44.10,46.80,47.67,49.64,51.92,54.48,58.41,60.65,62.55,63.91,69.04,76.25,79.38,79.69,81.71,81.61,81.28,80.58,,80.43,82.87,3.035801318
South West,E07000190,Taunton Deane,,,,,,37.9,38.01,38.98,40.58,42.34,43.97,46.09,47.18,49.06,51.76,54.34,58.15,60.32,62.10,64.16,68.52,73.54,81.19,82.07,83.89,83.33,81.71,81.06,,..,..,#VALUE!
South West,E07000045,Teignbridge,,,,,,39.95,43.81,45.54,47.22,50.29,52.52,54.35,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,138.47,138.00,-0.339423702
South West,E07000083,Tewkesbury,,,,,,36.81,39.1,41.14,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E06000027,Torbay,,,,,,43.28,43.77,45.39,45.36,46.65,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E07000046,Torridge,,,,,,36.4,38.95,41.90,45.65,45.65,47.23,50.02,50.95,52.63,54.79,.,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E07000047,West Devon,,,,,,42.8,44.19,46.99,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E07000052,West Dorset,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E07000191,West Somerset,,,,,,50.48,50.5,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E07000233,West Wiltshire,,,,,,48.39,49.09,49.69,51.06,51.95,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
South West,E07000053,Weymouth and Portland,,,,,,37.41,39.65,43.07,45.21,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South West,E06000054,Wiltshire,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,73.56,73.40,77.25,87.62,85.27,88.64,90.57,89.76,89.23,88.72,,87.98,90.45,2.813766924
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
