,"Current
ONS code",Lower and Single Tier Authority Data,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,,2019-20,2020-21,Price rise 
North West,E07000123,Preston,,,,,,35.91,39.61,40.44,41.06,42.94,44.53,46.71,46.46,47.77,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E07000124,Ribble Valley,,,,,,31.7,33.17,33.73,35.91,36.62,37.98,39.45,40.65,42.76,46.10,48.81,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,84.64,87.97,3.934310019
North West,E08000005,Rochdale,,,,,,35.47,35.96,36.57,37.51,38.87,40.49,42.77,43.17,44.70,46.38,48.58,51.99,52.86,54.47,55.91,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E07000125,Rossendale,,,,,,36.06,36.54,37.88,39.39,40.85,40.08,42.21,43.28,44.80,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,80.91,82.03,1.38425411
North West,E08000006,Salford,,,,,,37.56,39.13,40.44,40.81,43.54,45.16,46.01,47.22,49.88,50.70,51.62,54.14,56.21,57.92,59.24,63.27,76.35,75.70,78.21,82.01,83.64,76.34,78.93,,82.04,84.23,2.669429547
North West,E08000014,Sefton,,,,,,39.22,39.26,39.87,41.55,43.67,45.97,47.02,48.34,48.25,50.48,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E07000031,South Lakeland,,,,,,36.94,37.94,40.89,39.23,43.58,46.64,46.47,48.53,50.97,60.52,63.35,59.23,63.04,64.98,66.28,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,341.10,#VALUE!
North West,E07000126,South Ribble,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E08000013,St. Helens,,,,,,..,..,41.69,43.16,45.38,46.93,50.11,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E08000007,Stockport,,,,,,31.65,32.55,33.44,34.75,36.75,39.27,40.92,42.89,42.98,45.16,47.31,49.68,53.88,55.59,57.25,61.44,66.81,71.80,74.62,76.40,75.60,75.27,74.28,,75.03,76.42,1.855554599
North West,E08000008,Tameside,,,,,,35.71,37.11,39.44,41.37,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E08000009,Trafford,,,,,,36.48,37.44,38.51,39.98,42.18,44.56,46.61,47.27,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E07000018,Vale Royal,,,,,,34.37,37.12,38.27,39.90,42.02,43.69,47.78,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
North West,E06000007,Warrington,,,,,,30.39,31.48,35.53,37.84,41.26,43.77,46.20,54.33,50.13,50.13,52.57,57.04,59.58,59.34,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,106.18,106.18,0
North West,E07000127,West Lancashire,,,,,,34.6,36.24,37.30,37.82,39.26,41.48,43.11,43.79,45.30,47.10,49.38,50.56,54.74,56.45,58.19,62.21,67.32,70.76,75.08,76.96,76.60,75.95,75.22,,74.91,76.68,2.37086923
North West,E08000010,Wigan,,,,,,30.6,31.8,32.79,35.80,38.82,41.16,42.58,44.91,45.90,47.85,50.21,53.80,55.20,56.92,58.34,62.58,68.20,72.07,76.17,77.85,77.22,76.47,75.82,,75.67,77.73,2.721833005
North West,E08000015,Wirral,,,,,,43.36,45.13,45.65,46.23,48.10,48.94,50.25,50.03,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,74.66,76.67,2.692204661
North West,E07000128,Wyre,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Yorkshire and The Humber,E12000003,,21.64,23.41,25.65,27.63,29.68,31.44,32.36,33.64,35.11,36.95,39.44,41.70,42.48,44.18,46.03,48.28,51.74,53.87,55.63,56.84,60.55,65.30,69.31,73.25,74.97,73.65,73.17,72.58,,72.16,74.39,3.097493675
Yorkshire and The Humber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Yorkshire and The Humber,E08000016,Barnsley,,,,,,28.63,29.62,30.82,32.53,34.60,36.92,37.92,39.65,41.73,43.97,46.21,49.53,51.72,53.38,54.94,59.40,64.58,69.92,72.93,74.70,74.11,73.50,72.90,,72.40,74.32,2.651933702
Yorkshire and The Humber,E08000032,Bradford,,,,,,35.02,35.81,37.34,37.47,38.88,40.17,42.36,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,92.66,94.56,LSVT,LSVT,LSVT,LSVT,,100.07,103.65,3.577451977
