,Date,type,value,area
499,01-May-06,westmidlands_error,0.99172211,Westmidlands
500,01-May-06,east_pred,87.876518,East
501,01-May-06,east_error,1.2234802,East
502,01-May-06,london_pred,78.537224,London
503,01-May-06,london_error,-1.1372223,London
504,01-May-06,southeast_pred,84.614174,Southeast
505,01-May-06,southeast_error,0.78582764,Southeast
506,01-May-06,southwest_pred,86.139,Southwest
507,01-May-06,southwest_error,0.26100159,Southwest
508,01-May-06,england_pred,84.253426,England
509,01-May-06,england_error,-0.15342712,England
510,01-Jun-06,england,84.199997,England
511,01-Jun-06,northeast,90.099998,Northeast
512,01-Jun-06,northwest,90.699997,Northwest
513,01-Jun-06,yorkshireandthehumber,88.599998,Yorkshire
514,01-Jun-06,eastmidlands,91.300003,Eastmidlands
515,01-Jun-06,westmidlands,90.800003,Westmidlands
516,01-Jun-06,east,89.300003,East
517,01-Jun-06,london,77.599998,London
518,01-Jun-06,southeast,85.5,Southeast
519,01-Jun-06,southwest,86.5,Southwest
520,01-Jun-06,northeast_pred,91.875618,Northeast
521,01-Jun-06,northeast_error,-1.7756195,Northeast
522,01-Jun-06,northwest_pred,91.345001,Northwest
523,01-Jun-06,northwest_error,-0.64500427,Northwest
524,01-Jun-06,yorkshireandthehumber_pred,89.62307,Yorkshire
525,01-Jun-06,yorkshireandthehumber_error,-1.0230713,Yorkshire
526,01-Jun-06,eastmidlands_pred,89.177544,Eastmidlands
527,01-Jun-06,eastmidlands_error,2.1224594,Eastmidlands
528,01-Jun-06,westmidlands_pred,89.729996,Westmidlands
529,01-Jun-06,westmidlands_error,1.0700073,Westmidlands
